epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
59,9712.23,0.58584,1.39313,1.1902,1.11609,0,0.55968,0.59565,0.60058,0.51347,0.56078,0.59463,0.5982,0.48147,0.58541,1.42742,1.24956,1.10986,0,0.000445562,0.000445562,0.000445562
60,9876.54,0.59936,1.42378,1.20971,1.12932,0,0.55042,0.5947,0.58534,0.49726,0.55396,0.59965,0.5814,0.4657,0.59692,1.43071,1.29492,1.1103,0,0.000442469,0.000442469,0.000442469
61,10040.6,0.57853,1.37365,1.166,1.10875,0,0.59035,0.57727,0.59903,0.51157,0.58831,0.58066,0.59713,0.4778,0.59879,1.46977,1.25519,1.11813,0,0.000439375,0.000439375,0.000439375
62,10205,0.58449,1.37872,1.17964,1.11296,0,0.51394,0.62487,0.59301,0.50166,0.50839,0.61897,0.58718,0.47317,0.60576,1.42573,1.25015,1.13508,0,0.000436281,0.000436281,0.000436281
63,10369.1,0.58576,1.39863,1.17925,1.11591,0,0.56419,0.58068,0.59365,0.51495,0.56827,0.58364,0.59184,0.48337,0.58663,1.39254,1.24905,1.1036,0,0.000433187,0.000433187,0.000433187
64,10533.4,0.58285,1.37471,1.16252,1.10948,0,0.52681,0.60678,0.58837,0.5079,0.52638,0.60639,0.5863,0.47838,0.57167,1.38868,1.26386,1.08798,0,0.000430094,0.000430094,0.000430094
65,10697.9,0.5707,1.37481,1.15416,1.09406,0,0.56128,0.60645,0.60092,0.51239,0.55414,0.61178,0.5969,0.48321,0.60039,1.39275,1.24833,1.12142,0,0.000427,0.000427,0.000427
66,10862.1,0.56988,1.35553,1.12915,1.09958,0,0.56106,0.5724,0.5924,0.50899,0.5624,0.57085,0.58962,0.47824,0.58447,1.38741,1.25814,1.11517,0,0.000423906,0.000423906,0.000423906
67,11026.2,0.58238,1.40988,1.15187,1.11234,0,0.56838,0.61787,0.59929,0.51256,0.57238,0.61884,0.59615,0.48392,0.59431,1.43695,1.25306,1.11212,0,0.000420812,0.000420812,0.000420812
68,11190.3,0.58218,1.36693,1.13401,1.10832,0,0.59305,0.59354,0.5981,0.5153,0.59734,0.5986,0.59709,0.48379,0.57436,1.38084,1.25742,1.08946,0,0.000417719,0.000417719,0.000417719
69,11354.5,0.56736,1.34325,1.12793,1.09552,0,0.5629,0.58761,0.59191,0.50952,0.58549,0.56508,0.5914,0.48091,0.57489,1.40793,1.27882,1.09184,0,0.000414625,0.000414625,0.000414625
70,11518.8,0.57253,1.37836,1.11838,1.10438,0,0.56615,0.60831,0.5954,0.51179,0.56672,0.60789,0.59018,0.48414,0.58517,1.42836,1.25191,1.12037,0,0.000411531,0.000411531,0.000411531
71,11682.9,0.56766,1.33241,1.13303,1.10503,0,0.57409,0.60477,0.60638,0.51806,0.57046,0.59558,0.59636,0.48486,0.58678,1.4205,1.22443,1.10801,0,0.000408438,0.000408438,0.000408438
72,11847.4,0.56953,1.34959,1.11734,1.10494,0,0.56706,0.61399,0.6007,0.51591,0.5653,0.61838,0.59723,0.48819,0.58069,1.42384,1.23614,1.09922,0,0.000405344,0.000405344,0.000405344
73,12011.7,0.56886,1.37085,1.10436,1.10011,0,0.54715,0.61789,0.59319,0.51079,0.55504,0.61147,0.59348,0.47825,0.57864,1.37936,1.26368,1.09905,0,0.00040225,0.00040225,0.00040225
74,12176.2,0.56183,1.33349,1.08054,1.09224,0,0.57778,0.59027,0.59533,0.51224,0.6,0.57226,0.58998,0.48245,0.58494,1.45576,1.28205,1.10447,0,0.000399156,0.000399156,0.000399156
75,12340.4,0.56727,1.3678,1.09849,1.09926,0,0.60012,0.57393,0.59076,0.50309,0.59939,0.5723,0.5826,0.47281,0.58193,1.41012,1.26967,1.09981,0,0.000396063,0.000396063,0.000396063
76,12504.4,0.56094,1.31706,1.07179,1.08786,0,0.54923,0.62404,0.59234,0.50944,0.55725,0.62105,0.58794,0.478,0.57924,1.41736,1.25531,1.09839,0,0.000392969,0.000392969,0.000392969
77,12668.7,0.56078,1.33658,1.07395,1.09041,0,0.54346,0.62742,0.59424,0.51361,0.54598,0.62032,0.58934,0.48328,0.57566,1.42489,1.28205,1.09871,0,0.000389875,0.000389875,0.000389875
78,12833,0.56576,1.33717,1.0664,1.0966,0,0.56604,0.59337,0.60147,0.51997,0.56557,0.59515,0.59823,0.4889,0.57684,1.38521,1.26389,1.09729,0,0.000386781,0.000386781,0.000386781
