epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
39,3187.32,0.69296,1.60572,1.33469,1.15193,0,0.5411,0.51879,0.52726,0.41918,0.54125,0.52576,0.52398,0.41245,0.7544,1.57717,1.45023,1.22132,0,0.000507438,0.000507438,0.000507438
40,3268.47,0.6647,1.49881,1.29059,1.12709,0,0.51717,0.54411,0.53652,0.43637,0.5216,0.54776,0.53832,0.42501,0.73106,1.57179,1.40285,1.20554,0,0.000504344,0.000504344,0.000504344
41,3349.99,0.68144,1.56966,1.31636,1.13968,0,0.49391,0.60264,0.54758,0.44247,0.49649,0.59457,0.5375,0.4249,0.72508,1.52798,1.35412,1.18946,0,0.00050125,0.00050125,0.00050125
42,3431.24,0.67109,1.56306,1.30541,1.13477,0,0.53019,0.58236,0.54339,0.43962,0.52918,0.58132,0.54131,0.43147,0.74436,1.58913,1.41089,1.20146,0,0.000498156,0.000498156,0.000498156
43,3512.55,0.66839,1.55532,1.27431,1.13299,0,0.50945,0.57388,0.5525,0.44519,0.5091,0.56254,0.54624,0.42665,0.70845,1.52066,1.42875,1.16797,0,0.000495063,0.000495063,0.000495063
44,3593.8,0.66504,1.53509,1.28386,1.1319,0,0.5048,0.58834,0.55479,0.45418,0.50501,0.59082,0.55539,0.43832,0.70528,1.50541,1.36982,1.17504,0,0.000491969,0.000491969,0.000491969
45,3675.13,0.66839,1.53906,1.27061,1.13414,0,0.54924,0.57539,0.56421,0.46137,0.55647,0.57583,0.56366,0.446,0.68921,1.43053,1.32303,1.1544,0,0.000488875,0.000488875,0.000488875
46,3756.56,0.65322,1.50632,1.24898,1.11849,0,0.5352,0.59313,0.569,0.46357,0.53832,0.59258,0.56638,0.45005,0.72485,1.52082,1.36409,1.17638,0,0.000485781,0.000485781,0.000485781
47,3838,0.64793,1.48598,1.2355,1.11762,0,0.51093,0.57696,0.54978,0.44853,0.51369,0.5757,0.55196,0.43705,0.72092,1.5566,1.40694,1.18933,0,0.000482687,0.000482687,0.000482687
48,3919.4,0.65733,1.52369,1.25748,1.12105,0,0.51998,0.56689,0.54482,0.4423,0.51763,0.5731,0.5432,0.43046,0.71492,1.56236,1.37853,1.17351,0,0.000479594,0.000479594,0.000479594
49,4000.78,0.65442,1.51919,1.23784,1.12396,0,0.53462,0.56188,0.54997,0.44784,0.54321,0.56242,0.5493,0.43303,0.72711,1.55121,1.34721,1.20102,0,0.0004765,0.0004765,0.0004765
50,4082.22,0.6422,1.47053,1.20131,1.10754,0,0.51544,0.57698,0.55172,0.45156,0.52182,0.57582,0.54893,0.43737,0.70088,1.55877,1.37801,1.16366,0,0.000473406,0.000473406,0.000473406
51,4163.65,0.64783,1.47742,1.19746,1.11749,0,0.54977,0.54948,0.54509,0.44422,0.55132,0.54898,0.54113,0.42313,0.71595,1.69515,1.38355,1.1827,0,0.000470312,0.000470312,0.000470312
52,4245.01,0.64771,1.50479,1.20776,1.11974,0,0.55419,0.56137,0.56813,0.46659,0.55413,0.56095,0.56643,0.4498,0.69511,1.52297,1.31076,1.16941,0,0.000467219,0.000467219,0.000467219
53,4326.42,0.63234,1.44744,1.18059,1.10494,0,0.54558,0.56471,0.5582,0.45573,0.54739,0.56596,0.55668,0.43912,0.69189,1.50185,1.37008,1.14956,0,0.000464125,0.000464125,0.000464125
54,4407.69,0.63145,1.47256,1.19157,1.10712,0,0.57357,0.53481,0.56452,0.46399,0.57452,0.53356,0.56017,0.44478,0.68809,1.56334,1.359,1.15246,0,0.000461031,0.000461031,0.000461031
55,4488.79,0.62368,1.41093,1.14561,1.09873,0,0.48537,0.60686,0.55402,0.46175,0.5675,0.52249,0.55321,0.44235,0.67297,1.52928,1.37263,1.14528,0,0.000457938,0.000457938,0.000457938
56,4570.5,0.63035,1.44684,1.1719,1.10517,0,0.51944,0.58753,0.55362,0.45254,0.52098,0.58649,0.55104,0.43549,0.68858,1.4793,1.38173,1.15389,0,0.000454844,0.000454844,0.000454844
57,4651.88,0.65402,1.53043,1.18519,1.11986,0,0.52112,0.57838,0.55899,0.46193,0.52249,0.57453,0.55553,0.443,0.68336,1.54824,1.34414,1.14649,0,0.00045175,0.00045175,0.00045175
58,4733.03,0.61472,1.41421,1.13505,1.0952,0,0.56223,0.55505,0.56474,0.46201,0.56445,0.55079,0.55872,0.44435,0.69815,1.52371,1.3541,1.16448,0,0.000448656,0.000448656,0.000448656
59,4814.41,0.62639,1.42959,1.15126,1.10315,0,0.53036,0.59063,0.54611,0.44542,0.51916,0.59551,0.53746,0.42556,0.71043,1.645,1.40937,1.19411,0,0.000445562,0.000445562,0.000445562
60,4895.76,0.63034,1.4777,1.15707,1.10654,0,0.54199,0.56545,0.55739,0.46191,0.54058,0.56733,0.55336,0.44706,0.68213,1.46584,1.3661,1.14813,0,0.000442469,0.000442469,0.000442469
61,4976.83,0.61905,1.39654,1.1243,1.09495,0,0.55636,0.57623,0.56021,0.4633,0.55731,0.5689,0.55621,0.44504,0.68857,1.50684,1.38138,1.156,0,0.000439375,0.000439375,0.000439375
62,5058.12,0.62408,1.44472,1.11029,1.09847,0,0.53985,0.5911,0.56655,0.46848,0.54062,0.59108,0.56622,0.45289,0.68424,1.52101,1.34608,1.15222,0,0.000436281,0.000436281,0.000436281
63,5139.51,0.62002,1.44085,1.12963,1.09657,0,0.52404,0.5838,0.55849,0.46597,0.53114,0.5784,0.55771,0.44976,0.68008,1.52786,1.33109,1.14773,0,0.000433187,0.000433187,0.000433187
64,5221.05,0.62209,1.42818,1.11229,1.09976,0,0.54706,0.58164,0.56892,0.46973,0.54454,0.57565,0.56146,0.45108,0.66762,1.55534,1.3641,1.14021,0,0.000430094,0.000430094,0.000430094
65,5302.24,0.60344,1.36384,1.06537,1.08236,0,0.55707,0.56113,0.56408,0.46756,0.55493,0.55795,0.56018,0.44802,0.6885,1.52248,1.34687,1.16463,0,0.000427,0.000427,0.000427
66,5383.3,0.60527,1.4084,1.0885,1.08606,0,0.52751,0.61598,0.56864,0.47212,0.53018,0.60703,0.56523,0.45368,0.68842,1.50641,1.34847,1.1619,0,0.000423906,0.000423906,0.000423906
67,5464.63,0.621,1.43573,1.08701,1.09739,0,0.57118,0.56454,0.56788,0.46561,0.56878,0.56479,0.56508,0.44993,0.69432,1.47897,1.35876,1.15353,0,0.000420812,0.000420812,0.000420812
68,5545.9,0.61481,1.42661,1.09257,1.09246,0,0.54162,0.5879,0.56437,0.46375,0.56025,0.56283,0.55944,0.44586,0.67636,1.49632,1.36827,1.14882,0,0.000417719,0.000417719,0.000417719
69,5627.2,0.6064,1.40747,1.06122,1.08326,0,0.56146,0.56778,0.56198,0.46777,0.563,0.5689,0.56284,0.45222,0.6866,1.58296,1.35169,1.16814,0,0.000414625,0.000414625,0.000414625
70,5708.41,0.60287,1.40909,1.07379,1.0864,0,0.58061,0.55534,0.56007,0.45869,0.58105,0.55324,0.55327,0.44034,0.69219,1.52282,1.40923,1.1696,0,0.000411531,0.000411531,0.000411531
71,5789.63,0.59892,1.38289,1.05321,1.08149,0,0.54642,0.57638,0.56654,0.46294,0.53832,0.57716,0.56025,0.44959,0.69014,1.51175,1.37794,1.15933,0,0.000408438,0.000408438,0.000408438
72,5870.78,0.60716,1.39281,1.06015,1.08765,0,0.55472,0.59837,0.57304,0.47604,0.55547,0.5995,0.57056,0.45871,0.68152,1.54488,1.35916,1.16785,0,0.000405344,0.000405344,0.000405344
73,5952.42,0.60202,1.38936,1.05272,1.08267,0,0.54804,0.58791,0.57348,0.47125,0.54755,0.58031,0.56908,0.45323,0.67871,1.47004,1.34228,1.15487,0,0.00040225,0.00040225,0.00040225
74,6033.59,0.59611,1.35258,1.0247,1.08182,0,0.56071,0.57,0.57329,0.47201,0.57033,0.55421,0.56258,0.45203,0.67779,1.51466,1.41149,1.15376,0,0.000399156,0.000399156,0.000399156
75,6114.77,0.60887,1.39734,1.04574,1.08442,0,0.54922,0.56924,0.56221,0.46456,0.55137,0.57121,0.56022,0.44895,0.69208,1.51539,1.3778,1.16094,0,0.000396063,0.000396063,0.000396063
76,6195.76,0.58417,1.30812,0.99836,1.06903,0,0.54905,0.55539,0.56402,0.46825,0.54798,0.55423,0.55883,0.44914,0.69068,1.52122,1.3859,1.16421,0,0.000392969,0.000392969,0.000392969
77,6276.96,0.59784,1.3687,1.01718,1.07849,0,0.54998,0.57252,0.56332,0.47078,0.55242,0.57683,0.56438,0.45218,0.683,1.5137,1.38021,1.16803,0,0.000389875,0.000389875,0.000389875
78,6358.25,0.59945,1.39023,1.01834,1.08026,0,0.52414,0.57224,0.56438,0.46537,0.52116,0.57008,0.55982,0.44895,0.69452,1.5636,1.38844,1.17819,0,0.000386781,0.000386781,0.000386781
79,6439.54,0.59492,1.37884,1.02547,1.07837,0,0.53234,0.58201,0.56356,0.46476,0.57149,0.54367,0.562,0.44923,0.69359,1.55154,1.37519,1.15997,0,0.000383688,0.000383688,0.000383688
80,6520.91,0.5937,1.3713,1.00756,1.07274,0,0.56447,0.55123,0.55739,0.4675,0.56407,0.55129,0.55454,0.45066,0.67613,1.52808,1.41523,1.15092,0,0.000380594,0.000380594,0.000380594
81,6602.13,0.58215,1.36101,1.00769,1.07286,0,0.56641,0.5728,0.56055,0.46814,0.56374,0.56969,0.55528,0.45104,0.67975,1.58574,1.45242,1.15325,0,0.0003775,0.0003775,0.0003775
82,6683.44,0.57947,1.34275,0.97656,1.06645,0,0.5662,0.5515,0.55347,0.45902,0.57557,0.54509,0.55106,0.44157,0.69101,1.58418,1.44014,1.16179,0,0.000374406,0.000374406,0.000374406
83,6764.56,0.58255,1.35302,0.98433,1.06941,0,0.5521,0.56998,0.54688,0.45516,0.55211,0.56996,0.54456,0.43706,0.69751,1.61189,1.47294,1.16702,0,0.000371313,0.000371313,0.000371313
84,6845.53,0.58169,1.30772,0.97066,1.06788,0,0.55524,0.56798,0.56572,0.47263,0.55708,0.56941,0.56505,0.45758,0.67575,1.47312,1.39655,1.15198,0,0.000368219,0.000368219,0.000368219
85,6926.54,0.56983,1.2991,0.96082,1.05751,0,0.54688,0.58735,0.56745,0.47241,0.55391,0.58293,0.56578,0.45827,0.6921,1.47739,1.40015,1.16741,0,0.000365125,0.000365125,0.000365125
86,7007.58,0.56593,1.31086,0.94274,1.05389,0,0.59208,0.58637,0.57236,0.47606,0.5862,0.58552,0.56939,0.45859,0.66905,1.51398,1.39856,1.15256,0,0.000362031,0.000362031,0.000362031
87,7088.6,0.57853,1.32946,0.96582,1.06761,0,0.57983,0.58129,0.57295,0.47292,0.58119,0.57738,0.57256,0.45633,0.6749,1.5086,1.40259,1.14955,0,0.000358938,0.000358938,0.000358938
88,7169.65,0.57199,1.31167,0.9408,1.06179,0,0.53674,0.59271,0.57128,0.47976,0.53847,0.59258,0.5713,0.46241,0.65376,1.45209,1.38491,1.12427,0,0.000355844,0.000355844,0.000355844
89,7250.77,0.56848,1.29856,0.92911,1.05793,0,0.56459,0.57656,0.57205,0.4754,0.58129,0.55748,0.5682,0.45739,0.67132,1.53706,1.41919,1.1447,0,0.00035275,0.00035275,0.00035275
90,7331.9,0.56861,1.29725,0.93012,1.05775,0,0.553,0.58138,0.57068,0.47925,0.56115,0.57027,0.56694,0.45914,0.66674,1.49946,1.39366,1.1391,0,0.000349656,0.000349656,0.000349656
91,7412.99,0.5747,1.34448,0.95904,1.05958,0,0.57513,0.57073,0.57492,0.47924,0.57648,0.57149,0.57414,0.45882,0.67538,1.56802,1.38102,1.14869,0,0.000346563,0.000346563,0.000346563
92,7494.31,0.57757,1.34721,0.94818,1.06631,0,0.55243,0.60718,0.57473,0.48287,0.5547,0.60647,0.57232,0.4633,0.67577,1.48916,1.39013,1.15114,0,0.000343469,0.000343469,0.000343469
93,7575.45,0.56879,1.3074,0.92975,1.05723,0,0.58147,0.56574,0.57165,0.4795,0.58307,0.56798,0.5713,0.46173,0.66311,1.44573,1.39576,1.12995,0,0.000340375,0.000340375,0.000340375
94,7656.44,0.56751,1.3299,0.93534,1.05992,0,0.60122,0.53142,0.55947,0.47342,0.60325,0.53221,0.55859,0.454,0.64797,1.47132,1.44694,1.12953,0,0.000337281,0.000337281,0.000337281
